epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.36064,0.92091,4.12251,1.34134,0.01674,1,0.60318,0.39521,0.67654,4.10676,1.03379,1.25e-05,1.25e-05,1.25e-05
2,8.41328,0.54642,3.95615,1.19541,0.02094,1,0.61439,0.40936,0.6331,4.18759,1.0401,3.37875e-05,3.37875e-05,3.37875e-05
3,11.9957,0.42477,3.65205,1.10712,0.03448,1,0.59885,0.40909,0.64784,4.11819,1.05606,5.0125e-05,5.0125e-05,5.0125e-05
4,15.6437,0.32673,3.33444,1.07292,0.05,0.75,0.6515,0.51187,0.74317,4.05185,1.12982,6.15125e-05,6.15125e-05,6.15125e-05
5,19.1199,0.36049,3.12866,1.09124,0.08108,0.75,0.69304,0.54364,0.79826,4.0139,1.17787,6.795e-05,6.795e-05,6.795e-05
6,22.5023,0.3916,2.8246,1.12869,0.09091,0.75,0.65682,0.51748,0.81416,4.0285,1.2096,6.94375e-05,6.94375e-05,6.94375e-05
7,25.88,0.33228,2.67038,1.04055,0.1,0.75,0.633,0.47463,0.85802,4.03498,1.27818,6.5975e-05,6.5975e-05,6.5975e-05
8,29.352,0.25577,2.03495,0.94087,0.10714,0.75,0.63393,0.42045,0.85571,4.03208,1.28535,5.75625e-05,5.75625e-05,5.75625e-05
9,32.6784,0.26534,1.88462,0.96267,0.10714,0.75,0.63393,0.42045,0.8333,4.04735,1.266,4.42e-05,4.42e-05,4.42e-05
10,35.9696,0.39319,2.63972,0.99187,0.11538,0.75,0.6975,0.49642,0.78234,4.0627,1.21404,2.58875e-05,2.58875e-05,2.58875e-05
